sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2022-03-15;"2,094.67";"2,044.99";"2,085.08";;1;
2022-03-14;"2,115.07";"2,077.14";"2,096.44";;1;
2022-03-11;"2,098.20";"2,043.76";"2,070.80";;1;
2022-03-10;"2,059.90";"2,018.19";"2,038.92";;1;
2022-03-09;"2,041.93";"2,000.43";"2,041.62";;1;
2022-03-08;"2,019.91";"1,945.51";"1,972.04";;1;
2022-03-07;"2,014.25";"1,902.22";"1,980.35";;1;
2022-03-04;"2,039.33";"1,982.43";"1,985.54";;1;
2022-03-03;"2,100.21";"2,044.22";"2,048.51";;1;
2022-03-02;"2,107.06";"2,041.24";"2,096.53";;1;
2022-03-01;"2,135.07";"2,084.93";"2,084.93";;1;
2022-02-28;"2,135.22";"2,083.61";"2,134.07";;1;
2022-02-25;"2,143.92";"2,074.74";"2,141.52";;1;
